utterance,intent
"c'est quoi la cellule psychologique",covid---j-ai-une-question-sur-la-cellule-psychologique
"j'ai besoin de parler à quelqu'un",covid---j-ai-une-question-sur-la-cellule-psychologique
"On demande à qui une prise en charge par un psychologue ?",covid---j-ai-une-question-sur-la-cellule-psychologique
"j'ai une question sur la cellule psychologique",covid---j-ai-une-question-sur-la-cellule-psychologique
"j'en ai marre d'être seul au travail",covid---j-ai-une-question-sur-la-cellule-psychologique
"je ne me sens pas bien",covid---j-ai-une-question-sur-la-cellule-psychologique
"mes conditions de travail se sont dégradées",covid---j-ai-une-question-sur-la-cellule-psychologique
"Comment consulter un psy ?",covid---j-ai-une-question-sur-la-cellule-psychologique
"Aide moi à prendre rendez-vous avec un psychologue ?",covid---j-ai-une-question-sur-la-cellule-psychologique
"le télétravail ne me convient pas",covid---j-ai-une-question-sur-la-cellule-psychologique
"C'est trop dur je ne parle à personne dans la journée",covid---j-ai-une-question-sur-la-cellule-psychologique
"à cause du covid je me sens seule",covid---j-ai-une-question-sur-la-cellule-psychologique
"Je ne me sens pas bien, j'ai perdu la motivation au travail",covid---j-ai-une-question-sur-la-cellule-psychologique
"Cette situation est insupportable pour moi",covid---j-ai-une-question-sur-la-cellule-psychologique
"On fait comment pour être pris en charge psychologiquement ?",covid---j-ai-une-question-sur-la-cellule-psychologique
"j'ai envie de manger avec mes collègues dans une salle de convivialité",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"est ce que je peux manger avec des collègues en salle de convivialité",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"c'est quoi le mode opératoire pour manger en salle de convivialité ?",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"Mes collègues et moi on voudrait déjeuner dans la salle commune",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"Manger en salle de convivialité",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"ça marche comment les repas en salle de convivialité ?",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"Y a t il des conditions pour manger en salle commune ?",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"Donne moi des infos sur la salle de convivialité",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"Prise de repas en salle de convivialité",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"Qui a accès à la salle commune ?",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"Quelles sont les règles à respecter en salle de convivialité ?",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"Des agents ne respectent pas la distanciation sociale en salle de convivialité",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"je n'ai pas d'infos sur la prise de repas en salle de convivialité",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"je peux manger avec d'autres agents en salle de convivialité ?",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"j'ai vu des agents en salle de convivialité qui ne respectaient pas les gestes barrières, on peut fermer la salle ?",covid---j-ai-une-question-sur-la-prise-de-repas-en-salle-de-convivialite
"c'est possible de faire un test covid à l'hôtel du département ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"Y a t il des centres ou des campagnes de test covid ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"à quel endroit peut-on se faire dépister pour le covid ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"Où faire un test de dépistage du covid ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"Qui faut il contacter pour participer à une campagne de dépistage ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"quand se faire tester ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"Dis moi où me faire tester au covid au département ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"je ne sais si je peux me faire dépister au département ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"Une nouvelle campagne de test au Département aura-t-elle lieu ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"Où puis je me faire tester ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"je peux me faire dépister où ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"je peux aller où pour me faire dépister ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"J'ai une question sur les campagnes de test Covid-19",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"est ce que le département organise des tests ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"c'est quoi la liste des centres de dépistage ?",covid---j-ai-une-question-sur-les-campagnes-de-test---depistage
"dois je me faire vacciner ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"Dois-je me faire vacciner même si j'ai eu le virus ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"Je voudrais des infos sur les vaccins du covid",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"où aller pour se faire vacciner ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"On doit être vacciné pour travailler ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"La vaccination est elle obligatoire ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"Je ne sais pas quand est ce que je dois me faire vacciner",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"à qui demander des informations sur les campagne de vaccination ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"Quand est ce que la campagne de vaccination a-t-elle débuté ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"suis je une personne prioritaire pour être vacciné ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"Qui sont les personnes prioritaires dans les campagnes de vaccination ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"puis je me faire vacciner au département ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"je suis prioritaire pour la vaccination ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"j'ai une question sur les campagnes de vaccination",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"est ce que je dois me faire vacciner si j'ai déjà eu le covid ?",covid---j-ai-une-question-sur-les-campagnes-de-vaccination
"c'est quoi la définition d'un cas contact ?",covid---j-ai-une-question-sur-les-cas-contacts
"comment savoir si je suis cas contact ?",covid---j-ai-une-question-sur-les-cas-contacts
"J'ai été appelé par l'ARS ou la CPAM et identifié cas contact je dois faire quoi ?",covid---j-ai-une-question-sur-les-cas-contacts
"j'ai une question sur les cas contacts",covid---j-ai-une-question-sur-les-cas-contacts
"je ne sais pas si je suis cas contact",covid---j-ai-une-question-sur-les-cas-contacts
"je suis cas contact je dois faire quoi ?",covid---j-ai-une-question-sur-les-cas-contacts
"quelles sont les modalités de désignation d'un cas contact",covid---j-ai-une-question-sur-les-cas-contacts
"Quel est le mode opératoire si je suis cas contact ?",covid---j-ai-une-question-sur-les-cas-contacts
"Faut-il se mettre à l'isolement si je suis cas contact ?",covid---j-ai-une-question-sur-les-cas-contacts
"A qui envoyer mon arrêt de travail si je suis identifié cas contact ?",covid---j-ai-une-question-sur-les-cas-contacts
"Donne moi les critères d'un contact à risque",covid---j-ai-une-question-sur-les-cas-contacts
"si mon épouse est positive au Covid que dois-je faire?",covid---j-ai-une-question-sur-les-cas-contacts
"Suis je cas contact si je travaille dans le même bureau que mon collègue qui est positif",covid---j-ai-une-question-sur-les-cas-contacts
"Un de mes collègues a été testé positif au COVID-19 je suis cas contact ?",covid---j-ai-une-question-sur-les-cas-contacts
"Il y a un agent cas contact dans mon équipe, dois-je demander une désinfection automatiquement ?",covid---j-ai-une-question-sur-les-cas-contacts
"je peux encore faire des formations ?",covid---j-ai-une-question-sur-les-formations
"On fait comment pour se former malgré les restrictions sanitaires ?",covid---j-ai-une-question-sur-les-formations
"à qui demander des infos sur les formations ?",covid---j-ai-une-question-sur-les-formations
"Je ne sais pas si ma formation va être maintenue",covid---j-ai-une-question-sur-les-formations
"où se déroule les formations pendant le covid ?",covid---j-ai-une-question-sur-les-formations
"Les formations sont-elles maintenues pendant la pandémie ?",covid---j-ai-une-question-sur-les-formations
"formation professionnelle durant le covid",covid---j-ai-une-question-sur-les-formations
"Quelles mesures sanitaires sont mises en place pour les formations ?",covid---j-ai-une-question-sur-les-formations
"les formations se font elles en présentiel ?",covid---j-ai-une-question-sur-les-formations
"les formations se font elles à distance ?",covid---j-ai-une-question-sur-les-formations
"je suis inscrit à une formation, quand est ce que je saurais si elle est maintenue ?",covid---j-ai-une-question-sur-les-formations
"J'ai une question sur les formations",covid---j-ai-une-question-sur-les-formations
"est ce que ma formation va être annulée ?",covid---j-ai-une-question-sur-les-formations
"comment savoir si une formation se fera ?",covid---j-ai-une-question-sur-les-formations
"c'est quoi le mode opératoire pour les formations ?",covid---j-ai-une-question-sur-les-formations
"je voudrai renouveler mes masques",covid---j-ai-une-question-sur-les-masques
"c'est possible de réapprovisionner mon équipe en masque ?",covid---j-ai-une-question-sur-les-masques
"c'est quoi un masque ffp2",covid---j-ai-une-question-sur-les-masques
"j'ai besoin de masques FFP2",covid---j-ai-une-question-sur-les-masques
"je n'ai plus de masque",covid---j-ai-une-question-sur-les-masques
"je peux fabriquer mon propre masque ?",covid---j-ai-une-question-sur-les-masques
"les masques en tissu sont ils efficaces ?",covid---j-ai-une-question-sur-les-masques
"mon masque est abîmé",covid---j-ai-une-question-sur-les-masques
"où puis je me procurer des masques ?",covid---j-ai-une-question-sur-les-masques
"quelle catégorie de masque je peux porter ?",covid---j-ai-une-question-sur-les-masques
"quels sont les masques les plus efficaces ?",covid---j-ai-une-question-sur-les-masques
"tu peux me renseigner sur les masques qui existent ?",covid---j-ai-une-question-sur-les-masques
"Quels masques faut-il porter ?",covid---j-ai-une-question-sur-les-masques
"Y a t il des préconisations pour porter un masque chirurgical ?",covid---j-ai-une-question-sur-les-masques
"à qui dois je demander de nouveaux masques ?",covid---j-ai-une-question-sur-les-masques
"dois je m'isoler si j'ai des symptomes du covid ?",covid---j-ai-une-question-sur-les-symptomes
"que faire si j'ai des sympômes du covid ?",covid---j-ai-une-question-sur-les-symptomes
"Je crois que j'ai de la fièvre",covid---j-ai-une-question-sur-les-symptomes
"Les maux de tête sont de pire en pire",covid---j-ai-une-question-sur-les-symptomes
"J'ai l'impression d'avoir des courbatures",covid---j-ai-une-question-sur-les-symptomes
"je ressens des gênes respiratoires",covid---j-ai-une-question-sur-les-symptomes
"je suis essouflé",covid---j-ai-une-question-sur-les-symptomes
"je n'arrête pas de tousser",covid---j-ai-une-question-sur-les-symptomes
"je me sens fatiguée",covid---j-ai-une-question-sur-les-symptomes
"je fais quoi en cas de symptômes ?",covid---j-ai-une-question-sur-les-symptomes
"je commence à perdre l'odorat",covid---j-ai-une-question-sur-les-symptomes
"J'ai une question sur les symptômes du covid-19",covid---j-ai-une-question-sur-les-symptomes
"j'ai quelqu'un de mon équipe qui a des symptômes, que dois je faire",covid---j-ai-une-question-sur-les-symptomes
"j'ai la diarrhée",covid---j-ai-une-question-sur-les-symptomes
"c'est quoi les symptômes du covid ?",covid---j-ai-une-question-sur-les-symptomes
"ça se passe comment la validation du télé travail ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"c'est quoi les modalités pratiques d'autorisation de travailler à distance ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"comment déclarer le télétravail ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"J'ai une question sur le TRAD  à qui puis-je m'adresser ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"j'ai une question sur le travail à distance",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"la prolongation du TRAD",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"peut on me refuser des demandes de TRAD ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"Puis je avoir des informations sur le travail à domicile",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"Quelle est la démarche pour pouvoir réaliser du TRAD ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"combien de jours par semaine puis je télétravailler ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"aide moi à faire une demande d'autorisation de TRAD ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"je ne sais pas jusqu'à combien de jours par semaine je peux télétravailler ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"Faire valider mes demande de télétravail",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"Pour travailler à distance on fait la demande à qui ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"Travailler à domicile c'est possible ?",covid---j-ai-une-question-sur-le-travail-a-distance--trad-
"Dis moi à qui envoyer mon arrêt maladie pour le covid ?",covid---je-suis-positif-ve--au-test
"c'est quoi le mode opératoire en cas de cas positif ?",covid---je-suis-positif-ve--au-test
"Mon test covid est positif je fais quoi ?",covid---je-suis-positif-ve--au-test
"j'ai découvert que j'avais le covid, je dois alerter qui ?",covid---je-suis-positif-ve--au-test
"j'ai le covid, c'est quoi la marche à suivre ?",covid---je-suis-positif-ve--au-test
"Y a t il un protocole en cas de cas positif ?",covid---je-suis-positif-ve--au-test
"Mon résultat au test est positif, qui dois je prévenir ?",covid---je-suis-positif-ve--au-test
"je ne sais pas qui prévenir de mon test positif",covid---je-suis-positif-ve--au-test
"à qui envoyer mon arrêt de travail si j'ai le covid?",covid---je-suis-positif-ve--au-test
"Faire un signalement de cas de covid",covid---je-suis-positif-ve--au-test
"Que faire si je suis positive au test",covid---je-suis-positif-ve--au-test
"qui faut il prevenir si on a le covid ?",covid---je-suis-positif-ve--au-test
"il y a quelqu'un de mon équipe qui a eu un résultat positif au test covid",covid---je-suis-positif-ve--au-test
"je dois le dire à qui si j'ai le virus ?",covid---je-suis-positif-ve--au-test
"Qui prévenir en cas de covid ?",covid---je-suis-positif-ve--au-test
"j'ai besoin de voir mes collègues",covid---les-reunions-physiques-sont-elles-autorisees--
"est ce que je peux venir au département pour faire une réunion ?",covid---les-reunions-physiques-sont-elles-autorisees--
"Les réunions en présentiel sont elles autorisées malgré la pandémie ?",covid---les-reunions-physiques-sont-elles-autorisees--
"Je ne sais pas si j'ai le droit de faire une réunion",covid---les-reunions-physiques-sont-elles-autorisees--
"Donne moi les infos pour faire une réu au bureau",covid---les-reunions-physiques-sont-elles-autorisees--
"Peut-on se rassembler au bureau ?",covid---les-reunions-physiques-sont-elles-autorisees--
"a-t-on le droit de faire des réunions en physique ?",covid---les-reunions-physiques-sont-elles-autorisees--
"Y a t il un protocole à suivre pour organiser des réunions ?",covid---les-reunions-physiques-sont-elles-autorisees--
"quelles mesures sanitaires pour les réunions ?",covid---les-reunions-physiques-sont-elles-autorisees--
"je voudrais faire une réunion au département, j'ai le droit ?",covid---les-reunions-physiques-sont-elles-autorisees--
"Il faudrait organiser une réunion au bureau",covid---les-reunions-physiques-sont-elles-autorisees--
"Peut-on faire une réunion en présentiel ?",covid---les-reunions-physiques-sont-elles-autorisees--
"les réunions physiques sont elles autorisées ?",covid---les-reunions-physiques-sont-elles-autorisees--
"les réunions à distance c'est ingérable",covid---les-reunions-physiques-sont-elles-autorisees--
"c'est quoi le mode opératoire pour les réunions ?",covid---les-reunions-physiques-sont-elles-autorisees--
"est ce que je peux avoir du gel pour me laver les mains ?",covid---obtenir-du-gel-hydroalcoolique
"à qui dois je m'adresser pour m'approvisionner en gel ?",covid---obtenir-du-gel-hydroalcoolique
"j'ai besoin de gel hydroalcoolique",covid---obtenir-du-gel-hydroalcoolique
"je n'ai plus de gel",covid---obtenir-du-gel-hydroalcoolique
"je peux demander à qui du gel ?",covid---obtenir-du-gel-hydroalcoolique
"mon flacon de gel est bientôt vide",covid---obtenir-du-gel-hydroalcoolique
"Obtenir du gel hydroalcoolique",covid---obtenir-du-gel-hydroalcoolique
"où puis je trouver du gel ?",covid---obtenir-du-gel-hydroalcoolique
"où sont les stocks de gel hydroalcoolique ?",covid---obtenir-du-gel-hydroalcoolique
"Il n'y a plus de gel hydroalcoolique pour mon équipe",covid---obtenir-du-gel-hydroalcoolique
"il a une pénurie de gel hydro",covid---obtenir-du-gel-hydroalcoolique
"Il me faudrait du gel",covid---obtenir-du-gel-hydroalcoolique
"Peut-on re remplir son flacon de gel hydroalcoolique ?",covid---obtenir-du-gel-hydroalcoolique
"à qui peut on demander de nouvelles bouteilles de gel hydrolalcoolique ?",covid---obtenir-du-gel-hydroalcoolique
"Comment se réaprovisionner en gel hydro ?",covid---obtenir-du-gel-hydroalcoolique
"Il me faut une attestation pour le couvre feu, c'est possible ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"c'est possible d'avoir une attestation de déplacement ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"comment je rentre chez moi après 20h ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"j'ai besoin d'une attestation de déplacement, qui peut m'en donner une ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"je dois partir du travail après 18h",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"Puis-je obtenir une attestation de déplacement pendant la période du couvre feu ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"qui peut me donner une attestation dérogatoire ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"je voudrais partir du travail après le couvre-feu",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"le département fournit-il des attestations dérogatoires ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"Est qu'on a le droit de quitter le bureau après le couvre feu ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"se procurer une attestation de déplacement professionnelle",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
"Comment fait on pour avoir une attestation de déplacement ?",covid---puis-je-obtenir-une-attestation-de-deplacement-pendant-la-periode-du-couvre-feu--
